,User,Tweets,Country,category,likes,date
21,EmmanuelMacron,convinced china major role play building peace come discuss move forward president xi jinping also talk businesses climate biodiversity food security,France,Business & Finance,77933,2023-04-15 03:44:43+00:00
22,EmmanuelMacron,inclusion children living autism football goal twelve legend initiative led fondationpsg learning collective sport first values selfhelp team spirit solidarity,France,Society & Culture,76542,2023-04-15 03:43:46+00:00
23,EmmanuelMacron,passion round ball differences team eleven legends,France,Politics & Government,71978,2023-04-15 03:43:03+00:00
24,EmmanuelMacron,christchurch call promote along new zealand supported 50 states international organizations major digital platforms social networks many civil society organizations,France,Society & Culture,71198,2023-04-15 03:42:13+00:00
25,EmmanuelMacron,dear jacindaardern pleased continue work along us special send christchurch call fight terrorist violent extremist content online open free safe internet children,France,Society & Culture,70130,2023-04-15 03:41:48+00:00
26,EmmanuelMacron,christchurch call carry newzalend supported 50 states international organisations main digital platforms social networks well many civil society organisations,France,Society & Culture,69017,2023-04-15 03:41:18+00:00
27,EmmanuelMacron,happy dear jacindaardern see continue alongside us special envoy christchurchs call fight terrorist violent extremist content online promote open free safe internet children,France,Society & Culture,63463,2023-04-15 03:16:20+00:00
28,EmmanuelMacron,welcome nato finland hope welcome swedish friends soon,France,Society & Culture,59212,2023-04-15 03:15:03+00:00
29,EmmanuelMacron,welcome finland otan hope welcome swedish friends soon,France,Society & Culture,58279,2023-04-15 03:13:01+00:00
30,EmmanuelMacron,today lay foundation french model endoflife universal access palliative care better support caregivers appropriation palliative culture among us,France,Society & Culture,57038,2023-04-14 16:48:07+00:00
31,EmmanuelMacron,know end life entails irremediable pain preventable sorrowsinequality access die dignity unbearablewe correct tenyear national plan pain management palliative care,France,Health,55505,2023-04-14 16:47:23+00:00
32,EmmanuelMacron,work citizens endoflife convention starting point hope allow us build bill end summer,France,Society & Culture,47189,2023-04-14 15:20:25+00:00
33,EmmanuelMacron,day awareness autism writing lines thinking emotion morning strong spent papotin meetings young people joyful coffee sincere exchanges family caregivers caregivers forget,France,Society & Culture,46986,2023-04-14 15:18:29+00:00
34,EmmanuelMacron,nation bows life white arnaud major life commitment dedicated end serve protect,France,Society & Culture,45207,2023-04-14 15:10:24+00:00
35,EmmanuelMacron,common good generalize progressive responsible pricing water,France,Business & Finance,44080,2023-04-14 15:09:28+00:00
36,EmmanuelMacron,adapt water policy challenges climate change put means every year joint investment state communities mobilize almost 500 million euros achieve,France,Politics & Government,40644,2023-04-14 15:08:39+00:00
37,EmmanuelMacron,going put sobriety shelf fight leaks modernise networks invest massively reuse wastewater put place suitable water pricing accompany transformation highly waterconsuming systems,France,Society & Culture,39353,2023-04-14 15:07:36+00:00
38,EmmanuelMacron,making 10 water saving sectors target 2030 water plan,France,Society & Culture,36332,2023-04-14 12:47:11+00:00
39,EmmanuelMacron,drought comes difficulties every move counts summer starting may implement new instrument ecowatt water sector ask sobriety plan,France,Health,35084,2023-04-14 12:30:47+00:00
40,EmmanuelMacron,mission combat illegal ordeal guyane gendarme gign marshal white arnaud chief house fell fire salute emotion courage commitment condolences companion two children family comrades,France,Society & Culture,34202,2023-04-14 11:47:55+00:00
41,EmmanuelMacron,march 23 2018 carcassonne trbes four compatriots fell bullets islamist terrorismwe never forget never forget ultimate courage colonel arnaud beltrame continue fight,France,Society & Culture,33772,2023-04-14 09:38:47+00:00
42,EmmanuelMacron,love country compatriots thats im work difficult times take im sure able unite meet future country,France,Society & Culture,32598,2023-04-14 08:45:20+00:00
43,EmmanuelMacron,heart battle full employment,France,Health,30955,2023-04-14 08:44:53+00:00
44,EmmanuelMacron,reform pensions necessity country deciding choose general interest must endorse unpopularity endorse,France,Politics & Government,28235,2023-04-14 08:44:34+00:00
45,EmmanuelMacron,interview 100,France,Health,27455,2023-04-14 08:41:59+00:00
46,EmmanuelMacron,exchanged olive dubois good health immense relief nation relatives fellow journalists great gratitude niger liberation,France,Health,26442,2023-04-14 07:24:28+00:00
47,EmmanuelMacron,dubois olive tree free,France,Health,26414,2023-04-14 06:03:01+00:00
48,EmmanuelMacron,telephone president maia sandu expressed french support moldova commitment accompany european vocation face attempts destabilize consequences war ukraine,France,Politics & Government,26051,2023-04-14 03:22:52+00:00
49,EmmanuelMacron,500 days,France,Health,26035,2023-04-14 03:22:10+00:00
50,EmmanuelMacron,j500,France,Health,25733,2023-04-14 03:06:33+00:00
51,EmmanuelMacron,make seine marne batheable thats goal 2024 14 billion euros invested half state d500 way succeed one beautiful legacies olympic paralympic games betting 2024,France,Health,25622,2023-04-14 03:06:01+00:00
52,EmmanuelMacron,never forget,France,Health,24949,2023-04-14 03:05:26+00:00
53,EmmanuelMacron,every country must find way reconcile ecological transition fight poverty working mia motley barbados france together look forward seeing partners summit new global financial pact next june paris,France,Business & Finance,24913,2023-04-14 03:05:01+00:00
54,EmmanuelMacron,countries reconcile ecological transition fight poverty fight leading mia motley barbados france together go partners next june bets summit new global financial pact,France,Business & Finance,24342,2023-04-14 03:04:24+00:00
55,EmmanuelMacron,fresh start,France,Health,23662,2023-04-14 02:53:42+00:00
56,EmmanuelMacron,new start,France,Health,23118,2023-04-14 02:51:59+00:00
57,EmmanuelMacron,rishisunak destinies united kingdom france linked challenges shared conservation planet support ukraine security energy cooperation together making progress welcome paris rishisunak,France,Society & Culture,23022,2023-04-14 02:50:26+00:00
58,EmmanuelMacron,fates united kingdom france linked challenges shared preservation planet support ukrainian cooperation matters security energy together advance welcome bets dear rishisunak,France,Society & Culture,22629,2023-04-14 02:49:05+00:00
60,EmmanuelMacron,schreckliche nachrichten aus hamburg ich richte das beileid frankreichs die angehrigen der opfer und alle unsere deutschen freunde unsere gedanken sind bei ihnen,France,Society & Culture,22472,2023-04-14 02:46:49+00:00
61,EmmanuelMacron,terrible news coming hamburg extend condolences france relatives victims german friends thoughts accompany,France,Society & Culture,20843,2023-04-13 17:05:40+00:00
62,EmmanuelMacron,legend architecture urban planning visionary leftist activist roland castro left us urban landscape leaves indelible imprint citizens inspiration goodbye thank roland,France,Society & Culture,19664,2023-04-13 16:59:50+00:00
63,EmmanuelMacron,order meet urgent needs people eastern part democratic republic congo committed humanitarian transport goma way,France,Politics & Government,19632,2023-04-13 16:59:04+00:00
64,EmmanuelMacron,georgians georgians attachment democratic values freedom press association heard georgy oriented towards euro knows able rely friendship france,France,Society & Culture,19534,2023-04-13 16:58:44+00:00
65,EmmanuelMacron,convinced great balances world playing many new partnership france euro african countries gabonese angolan congolese two banks river thank welcome live friendship,France,Society & Culture,19486,2023-04-13 16:48:46+00:00
66,EmmanuelMacron,universal message solidarity women today see right violated france engrave constitution freedom women recourse abortion,France,Society & Culture,18654,2023-04-13 16:48:44+00:00
67,EmmanuelMacron,constitution let us enshrine freedom women resort iivg,France,Health,18153,2023-04-13 15:05:34+00:00
68,EmmanuelMacron,master halimi republic thanks freer lively fairer continue carry fights,France,Politics & Government,18067,2023-04-13 13:59:10+00:00
69,EmmanuelMacron,halimi gisele,France,Society & Culture,17284,2023-04-13 13:58:14+00:00
70,EmmanuelMacron,didnt let anything go get commitment made night new york historic member states lonu say yes international treaty protect high seas half surface planet going safeguard,France,Politics & Government,17197,2023-04-13 13:58:13+00:00
71,EmmanuelMacron,france first respond initiative european union humanitarian air bridge goma release immediate contribution 34 million euros humanitarian aid addition nearly 50 million already announced euro,France,Politics & Government,17173,2023-04-13 09:00:36+00:00
72,EmmanuelMacron,double standards tragedy ukraine european territory one african soil crimes take place eyes democratic republic congo must add forgetfulness abandonment,France,Politics & Government,16821,2023-04-13 09:00:09+00:00
73,EmmanuelMacron,france never resigned fatality history horror war remain faithful unwavering ally democratic republic congo defend integrity sovereignty,France,Society & Culture,16770,2023-04-13 08:59:58+00:00
74,EmmanuelMacron,looting balkanization war democratic republic congo,France,Politics & Government,16351,2023-04-13 08:59:44+00:00
75,EmmanuelMacron,brazzaville capital free france memorial created honour memory women men african heroes never trodden ground hexagon gave lives liberate,France,Society & Culture,16234,2023-04-13 08:59:36+00:00
76,EmmanuelMacron,strengthened strategic partnership especially training eiffel schools today illustrate vigour francophonie country new school 42 de luanda digital revolution africa,France,Society & Culture,16206,2023-04-13 05:27:01+00:00
77,EmmanuelMacron,order meet challenges langola france partner mobilize long termin field agricultural production unprecedented number french companies come luanda show interest engaging,France,Society & Culture,15969,2023-04-13 03:53:21+00:00
78,EmmanuelMacron,bassma kodmani left us today pay tribute think family well many friends students companions struggle democracy free courageous syrian already miss voice,France,Politics & Government,15807,2023-04-13 03:52:11+00:00
79,EmmanuelMacron,nature longer regarded free inexhaustible goodone forest summit first international summit put issue valuing natural capital heart debate,France,Health,15272,2023-04-13 03:51:16+00:00
80,EmmanuelMacron,countries protect primary forests serve humanity bear costs must take advantage high environmental ambition one forest summit launching financial tools pay efforts,France,Business & Finance,14754,2023-04-13 03:50:40+00:00
81,EmmanuelMacron,committed protecting forests need solutions actions freetown today one forest summit propose method political commitment countries funding,France,Politics & Government,14504,2023-04-13 03:49:41+00:00
82,EmmanuelMacron,great solution gabon combat climate change,France,Politics & Government,14436,2023-04-13 03:49:17+00:00
83,EmmanuelMacron,gabonese minister lee white teachers alfred ngomanda suspense warned ifo heart protected reserve raponda walker tropical basin congo,France,Health,14371,2023-04-13 03:48:41+00:00
84,EmmanuelMacron,kopa wrote first epic french football fountain forever founding myth,France,Society & Culture,13833,2023-04-13 03:46:10+00:00
86,EmmanuelMacron,thoughts go relatives victims terrible accident occurred last night near larissa france stands greeks,France,Society & Culture,13799,2023-04-12 13:27:38+00:00
87,EmmanuelMacron,papillomavirus eradicate soon next school year vaccination offered college 800000 students 5th access vaccine facilitated young people without remaining charge succeed lets talk,France,Health,13515,2023-04-12 13:27:37+00:00
88,EmmanuelMacron,saw pride passion commitment farm show heard difficulties want tell know owe let go proud french agriculture,France,Society & Culture,13348,2023-04-12 13:27:35+00:00
89,EmmanuelMacron,united kingdom european union completed agreement implementing postbrexit framework northern ireland welcome important decision preserve good faith agreement protect european internal market,France,Politics & Government,13099,2023-04-12 10:42:12+00:00
90,EmmanuelMacron,united kingdom european union reached agreement implementation postbrexit framework northern ireland welcome important decision preserve good friday agreement protect european internal market,France,Politics & Government,12891,2023-04-12 10:40:41+00:00
91,EmmanuelMacron,consider african countries partners share interests responsibilities course set ouagadougou 2017 held time go end logic,France,Health,12850,2023-04-12 10:39:25+00:00
92,EmmanuelMacron,largest number foreign investment decisions france 2022 record year france attracts ever creates jobsthe policy conducted 6 years bears fruit,France,Business & Finance,12669,2023-04-12 10:39:02+00:00
93,EmmanuelMacron,bravo nicolas philibert rewarded berlin golden bear new documentary magnet humanist author honored also heroes patients caregivers psychiatric world history humanity commitment,France,Health,12580,2023-04-12 10:35:58+00:00
94,EmmanuelMacron,farmers craftsmen exchanged today driveways agricultural fair thank feeding us well consume french support also choose quality invite everyone come meet,France,Society & Culture,12295,2023-04-12 10:35:12+00:00
95,EmmanuelMacron,essential balance rural territories food sovereignty livestock farming heart french agricultural modelit remain face consequences climate change adapt plan give prospects,France,Health,12058,2023-04-12 06:17:11+00:00
96,EmmanuelMacron,pride marine michel breeders saint alyre commune today pride french trade fair agriculture,France,Society & Culture,11937,2023-04-12 05:42:12+00:00
97,EmmanuelMacron,overcome impacts brexit fishermen must today high energy prices result war ukraine continue support french fishing fuel aid 20 cents per litre extended autumn,France,Society & Culture,11656,2023-04-12 02:36:09+00:00
98,EmmanuelMacron,beginning day agricultural fair fishermen,France,Society & Culture,11632,2023-04-11 08:22:58+00:00
99,EmmanuelMacron,within hours earthquake turkey civil security forces taking part rescue efforts glba field hospital treating 100 injured people day received president erdoan full solidarity support,France,Health,11592,2023-04-11 08:22:21+00:00
100,EmmanuelMacron,spoken president erdoan conflict ukraine must intensively support ukraine achieve victory must also continue increase pressure russia urging cease aggression,France,Politics & Government,11489,2023-04-11 08:22:20+00:00
102,EmmanuelMacron,cumhurbakan erdoan island ukraynadaki sava hakknda gr alveriinde budunduk ukraynann kazanmasn salamak iin desteimizi daha da younlatrmalyz saldrdan vazgemesine yol amak iin de rusya zerindeki basky arttrmaya devam etmeliyiz,France,Society & Culture,11269,2023-04-11 08:21:03+00:00
103,EmmanuelMacron,hours earthquake turquia civil security forces involved research glbasi field hospital takes care hundred wounded every day president erdogan confirmed remained fully mobilized solidarity,France,Health,11259,2023-04-11 08:20:31+00:00
104,EmmanuelMacron,president erdogan discussed conflict ukraine need step support ukrainian allow prevail also need continue increase pressure russians push renounce aggression,France,Politics & Government,11250,2023-04-11 08:19:49+00:00
105,EmmanuelMacron,ukraine france germany canada united states itally japan united kingdom european union united resolute victory peace restored,France,Society & Culture,11238,2023-04-11 08:19:27+00:00
106,EmmanuelMacron,ukraine france allemagne canada united states italie japon united kingdom european union united determined victory return peace,France,Society & Culture,11083,2023-04-11 03:40:13+00:00
107,EmmanuelMacron,people ukraine france stands side solidarity victory peace,France,Society & Culture,11028,2023-04-10 03:49:34+00:00
108,EmmanuelMacron,ukrainians ukrainians france stands side solidarity victory peace,France,Society & Culture,11023,2023-04-10 03:48:40+00:00
110,EmmanuelMacron,murder teacher saintjeandeluz fills us intense emotion share pain family colleagues students teachers dedicate lives passing knowledge future generations nation side,France,Society & Culture,10958,2023-04-10 03:47:22+00:00
111,EmmanuelMacron,work heart nations project valuing making pay better improving conditions meaning reforms,France,Health,10918,2023-04-10 03:45:57+00:00
112,EmmanuelMacron,keep france middle pandemic every day every night work dawn feed whole country thanks,France,Health,10583,2023-04-10 03:39:37+00:00
113,EmmanuelMacron,10 years 25000 startups 500000 direct jobs proud french tech transforms country changes lives compatriots france2030 go even,France,Science & Mathematics,10499,2023-04-10 03:38:50+00:00
114,EmmanuelMacron,lets get work right away together countries global south laying groundwork peace ukraine united stronger,France,Society & Culture,10341,2023-04-10 03:38:13+00:00
115,EmmanuelMacron,accepting normalization illegal use force would mean calling european security global security question russias aggression ukraine must fail,France,Society & Culture,10245,2023-04-10 03:35:41+00:00
116,EmmanuelMacron,russia cannot must win war ukraine,France,Politics & Government,10170,2023-04-09 14:28:58+00:00
117,EmmanuelMacron,war ukraine affect europeans entire planet,France,Society & Culture,10105,2023-04-09 13:33:36+00:00
118,EmmanuelMacron,united states france together partners continue support ukraine victory contained peace returns europe also support president zelenskyys tenpoint peace plan,France,Politics & Government,10069,2023-04-09 13:32:42+00:00
119,EmmanuelMacron,united states america france together partners continue support ukrainian victory return peace europe support also tenpoint peace plan president zelensky,France,Politics & Government,10064,2023-04-09 11:40:39+00:00
120,EmmanuelMacron,let us commit hand hand countries south preparation peace ukrainian united stronger,France,Politics & Government,9935,2023-04-09 11:39:32+00:00
121,EmmanuelMacron,europe wants able defend europe must arm must reinvest massively european defence,France,Society & Culture,9645,2023-04-09 11:38:15+00:00
122,EmmanuelMacron,accept banalisation illegal use force call question european security global stability aggression russians ukrainians must fail,France,Politics & Government,9629,2023-04-09 08:10:09+00:00
123,EmmanuelMacron,russia cannot must win war ukrain,France,Politics & Government,9540,2023-04-09 08:04:44+00:00
124,EmmanuelMacron,war ukraine war europeans europeans affects entire planet,France,Society & Culture,9466,2023-04-09 07:30:52+00:00
125,EmmanuelMacron,bylo mi potenm ven generalpavel myslm na puta kter spojuj eskou republiku francii dle je poslme myslm rovn na vae hrdinstv kdy jste v roce 1993 zachrnil 53 francouzskch vojk kte se ocitli pod palbou v bval jugoslvii ptelsky ctou,France,Politics & Government,9453,2023-04-09 06:59:20+00:00
126,EmmanuelMacron,delighted dear generalpavel thinking ties czech republic france strengthen also thinking heroism 1993 helped 53 french soldiers caught fire exyugoslavia friendship respect,France,Society & Culture,9369,2023-04-09 06:58:44+00:00
127,EmmanuelMacron,350 years ago molire died theatre still alivethank play study make love itif french called molar language author able express spirit people well,France,Society & Culture,9360,2023-04-09 06:58:10+00:00
128,EmmanuelMacron,putting end sale new thermally powered vehicles 2035 one commitments made line climate objectives shift european parliament approved,France,Politics & Government,9331,2023-04-09 06:53:59+00:00
129,EmmanuelMacron,contract airbus tata sounds signed morning marks new stage india frances strategic partnership thank narendramodi confidence france industry,France,Business & Finance,9090,2023-04-09 06:53:27+00:00
130,EmmanuelMacron,contract signed morning airbus tata sons marks new step strategic partnership binds india france thank dear narendramodi confidence france industry,France,Business & Finance,8869,2023-04-09 06:52:41+00:00
131,EmmanuelMacron,unemployment lowest level second time 40 years full employment goal,France,Society & Culture,8840,2023-04-09 06:14:02+00:00
132,EmmanuelMacron,ilan halimi 23 years old life torn antisemitic barbarians february 13 2006 forget fight forms hatred priori nourish daily fight,France,Society & Culture,8815,2023-04-09 06:11:56+00:00
133,EmmanuelMacron,robert hebras left us morningthe last survivor massacre daradoursurglane devoted life convey memory victims work peace reconciliation along agathe granddaughter carry duty memory,France,Society & Culture,8754,2023-04-09 01:12:37+00:00
134,EmmanuelMacron,lulaoficial potus bundeskanzler peace heart discussions paris historical visit president zelensky chancellor scholz ukraine shown real courage starting conversation 10 points peace plan lets continue together basis lulaoficial,France,Politics & Government,8734,2023-04-08 17:52:12+00:00
135,EmmanuelMacron,third conference united nations oceans organized france costa rica take place 2025 nice agreement protect ocean common good humanity ambition,France,Politics & Government,8675,2023-04-08 17:51:43+00:00
136,EmmanuelMacron,enable companies accelerate decarbonisation reduce strategic dependencies promote fair competition objectives european industry support plan adopting,France,Business & Finance,8659,2023-04-08 17:28:18+00:00
137,EmmanuelMacron,bet mixing voice germany bruxelles european family united marked determination help ukrainians win war support weaken,France,Society & Culture,8597,2023-04-08 17:28:14+00:00
138,EmmanuelMacron,european family,France,Society & Culture,8355,2023-04-08 17:28:13+00:00
139,EmmanuelMacron,tribute lukraine people tribute dear volodymyr courage commitment,France,Society & Culture,8269,2023-04-08 16:57:49+00:00
140,EmmanuelMacron,fights peace carries values european union ukrainian never alone,France,Society & Culture,8233,2023-04-08 16:57:45+00:00
141,EmmanuelMacron,towards victory towards peace towards european,France,Politics & Government,8079,2023-04-08 16:47:34+00:00
142,EmmanuelMacron,welcome bets dear friend ukraine count france,France,Society & Culture,7983,2023-04-08 16:37:10+00:00
143,EmmanuelMacron,terrible event turquia going france united two search rescue detachments already work told president erdogan last night ready complete emergency aid according priority needs,France,Politics & Government,7968,2023-04-08 14:49:16+00:00
144,EmmanuelMacron,one five teenagers already harassed social networks global day safer internet saferinternetday lets spread message lets collectively vigilant platforms internet users victim witness,France,Health,7966,2023-04-08 14:45:49+00:00
145,EmmanuelMacron,charlysurmarne tragic fire caused death seven children mothersthe nation shares shock pain families loved onesthank firefighters rescue workers,France,Society & Culture,7865,2023-04-08 13:29:00+00:00
147,EmmanuelMacron,grlmemi iddetteki bir deprem sonrasnda trkiye suriyeden korkun grntler alyoruz fransa olay yerindeki nfusa acil yardm salamaya hazrdr kalbimiz yasl wingelerin yanndadr,France,Health,7712,2023-04-08 12:22:41+00:00
148,EmmanuelMacron,terrible images come turquie syria earthquake unprecedented force france stands ready provide emergency aid populations spot thoughts go bereaved families,France,Society & Culture,7660,2023-04-08 12:22:11+00:00
149,EmmanuelMacron,trgicos incendios asolan varias chile todos mis pensamientos estn con las familias de las vctimas los heroes que luchan frente las llamas el pueblo chileno puede contar con el apoyo de francia para luchar contra este flagelo,France,Society & Culture,7613,2023-04-08 11:56:44+00:00
150,EmmanuelMacron,tragic fires ravage several areas chili thoughts go families victims heroes fight flames chilean people count support france fight scourge,France,Society & Culture,7553,2023-04-08 11:54:46+00:00
151,EmmanuelMacron,france remain host land human rights defenders,France,Society & Culture,7530,2023-04-08 11:34:58+00:00
152,EmmanuelMacron,srden vm blahopeji generalpavel ke zvolen adu prezidenta esk republiky nae zem spojuj spolen hluboce evropsk hodnoty take podpora ukrajiny v pai jste vtn,France,Politics & Government,7528,2023-04-08 09:50:33+00:00
153,EmmanuelMacron,sincere congratulations generalpavel election presidency czech republicour countries bound deeply european values support ukrainianyou welcome bet,France,Politics & Government,7458,2023-04-08 09:49:33+00:00
154,EmmanuelMacron,co2 emissions falling fast enough succeed need double efforts difficult together able ecological planning leading must much transition shift,France,Health,7435,2023-04-08 09:43:33+00:00
155,EmmanuelMacron,thinking victims yesterdays attack synagogue jerusalem families israeli people strong condemnation heinous act cycle violence must avoided costs,France,Society & Culture,7403,2023-04-08 09:42:18+00:00
156,EmmanuelMacron,78 years liberation camp dauschwitz france forget jewish deportees victims nazi barbarismthe memory remains forever,France,Society & Culture,7311,2023-04-08 09:41:01+00:00
157,EmmanuelMacron,durante nosso telefonema reiterei ao presidente lulaoficial apoio da frana aps os ataques democracia brasileira reafirmamos nossa determinao de acte em prol clima da biodiversidade nossas florestas e contra home vamos vencer estes desafios,France,Politics & Government,7194,2023-04-08 09:36:23+00:00
158,EmmanuelMacron,meeting reiterated president lulaofial support france attacks brazilian democracy reaffirmed determination act climate biodiversity forests hunger meet challenges,France,Politics & Government,7136,2023-04-08 09:35:28+00:00
159,EmmanuelMacron,first step process make sure best possible solutions problem problem make sure best possible solutions problem best way,France,Health,6915,2023-04-08 07:22:54+00:00
160,EmmanuelMacron,india celebrates republic day convey warmest wishes dear friend narendramodi indian people look forward setting new ambitions together g20 indofrench strategic partnership turns 25 year,France,Politics & Government,6897,2023-04-08 05:58:07+00:00
161,EmmanuelMacron,six years collective together sexism organized every january 25th event fight sexism egalitarian society fight business january 25th become national day sexism,France,Society & Culture,6850,2023-04-08 05:57:32+00:00
162,EmmanuelMacron,safe place secure open peaceful democratic respects human rights thats internet must remember especially children one battles artists join us speak thank pharrell commitment,France,Society & Culture,6687,2023-04-08 05:56:46+00:00
163,EmmanuelMacron,nothing impossible remain united united future generations build nichts ist unmglich wenn wir zusammenhalten vereint gestalten wir die zukunft mit den knftigen generationen,France,Society & Culture,6643,2023-04-08 03:44:58+00:00
164,EmmanuelMacron,germany france must become pioneers refoundation europe together,France,Society & Culture,6640,2023-04-08 03:44:28+00:00
165,EmmanuelMacron,22 januar 1963 vor 60 jahren besiegelten deutschland unter konrad adenauer und frankreich unter charles de gaulle ihre ausshnung diesem tag beschlossen unsere beiden lnder einer neuen zukunft fr deutschland frankreich und europa tr und tor zu ffnen,France,Society & Culture,6594,2023-04-08 03:43:41+00:00
166,EmmanuelMacron,january 22 1963 60 years ago germany konrad adenauer france general gaulle sealed reconciliation day two countries decided open doors new future germany france europe,France,Politics & Government,6554,2023-04-08 03:43:01+00:00
167,EmmanuelMacron,build europe next generation common forum chancellor olaf scholz,France,Society & Culture,6500,2023-04-08 03:20:14+00:00
168,EmmanuelMacron,tomorrow army resemble today remain respect bring protect us recognition trust nation,France,Society & Culture,6311,2023-04-08 03:19:21+00:00
169,EmmanuelMacron,going transform armies,France,Health,6299,2023-04-08 03:17:12+00:00
170,EmmanuelMacron,barcelona treaty continue chart francospanish path based strong community thought values common action,France,Society & Culture,6249,2023-04-08 03:16:32+00:00
171,EmmanuelMacron,juanitos lowemission areas answer questions ecology,France,Health,6182,2023-04-08 03:13:14+00:00
172,EmmanuelMacron,committed protecting deep seabed audrey coastlines acting 20 years 400000 tons waste collected ready join oceans going remove,France,Health,6077,2023-04-08 03:12:27+00:00
173,EmmanuelMacron,billion trees ten years olive tree well,France,Health,5881,2023-04-08 03:11:02+00:00
175,EmmanuelMacron,saddened tragic death ukrainian interior minister denys monastyrskythought victims terrible event vicinity nursery school children families france presents condolences ukrainian friends,France,Society & Culture,5757,2023-04-07 12:07:16+00:00
176,EmmanuelMacron,move companies climate issues answer question thibault many others youtube channel,France,Business & Finance,5691,2023-04-07 04:36:23+00:00
177,EmmanuelMacron,im sorry dont know im talking,France,Health,5617,2023-04-07 04:35:50+00:00
178,EmmanuelMacron,execution alireza akbari despicable barbaric act name adds long list victims repression death penalty iran solidarity uk solidarity iranian people,France,Society & Culture,5581,2023-04-07 03:44:00+00:00
179,EmmanuelMacron,execution alireza akbari heinous barbaric act name added long list victims repression death penalty iran solidarity united kingdom solidarity iranian people,France,Society & Culture,5542,2023-04-07 03:43:08+00:00
180,EmmanuelMacron,dear fumio france honoured first stage tour europe wish every success japanese presidency g7 challenges ahead immense overcome together,France,Politics & Government,5467,2023-04-07 03:42:41+00:00
181,EmmanuelMacron,construction site lady symbol resilience embodies desire rebuild face adversity value france japan share dear fumio proud present today french knowhow matters heritage,France,Society & Culture,5465,2023-04-07 03:41:55+00:00
182,EmmanuelMacron,resurgences antisemitic antichristian antimuslim antireligious acts still frequent alas remind us humanity quickly made switch find buried demons nothing ever acquired,France,Society & Culture,5434,2023-04-07 03:40:54+00:00
183,EmmanuelMacron,january 9 2015 born jews path crossed islamist fanatic philippe yohan yoav francomichel killed,France,Society & Culture,5430,2023-04-07 03:40:05+00:00
184,EmmanuelMacron,solidarity pakistan faced devastating floods respond urgency help build resilience face consequences climate changethe france daily longterm basis alongside pakistani people,France,Society & Culture,5375,2023-04-07 03:38:40+00:00
